post_text,label
Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years ,1
designtaxi: Test your eyes by playing this fast-paced color-matching game ,1
"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",1
"Awake. Mind racing. Need to sleep, dammit! insomnia",1
Square 11 done crochet crochetblanket ,1
"the_candourist glad to see that you survived the brutality of the desert. Stay strong, be safe",1
I’ve just remembered that the new house has range cooker. Whoop! Looking forward to road testing it ,1
Square 10 / lacy crochet / pale blue DK yarn crocheting crochetblanket ,1
9 squares made crochet crocheting ,1
CambridgeNewsUK: Have you had a look around Milton Country Park? We've found some of its prettiest spots ,1
twistedthread: Happy Sunday! BorntoSew ,1
"Deckchair in the sun, what's not to love? ️ CatsOfTwitter ",1
Watching Pitch Perfect 2... Pat Benatar - We Belong ,1
"Natalie Imbruglia, where is she now...?",1
Two hoggles out for dinner so far tonight... hedgehog ,1
bhcitynews: Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery ,1
Woof_ALL_4_PETS beautiful kitty!,1
ViviannaMakeup what a lovely kitchen!,1
CambridgeNewsUK: 18 fun things to do in Cambridgeshire in September ,1
Can you see me? WorldCatDay ,1
DogsTrust: These pups can't be cuddled due to a horrible skin infection. DT_Essex provide the TLC... ,1
"It's not your chair, it's all mine! worldcatday ",1
CambridgeNewsUK: The Cambridgeshire Cook Book is out now! ,1
"CambridgeNewsUK: Most A-level predicted grades are wrong, Cambridge Assessment finds ",1
I might have completed on the house by this time next week. Whoop! ,1
MrBenBrown just watched you &amp; Steve get your tats. Looked painless! I want now ,1
Keeping me company while I work ️ WorldCatDay CatsProtection ,1
What a happy little dog! :) : Rose plays with a balloon via YouTube,1
4 snuffly hedgehogs out for dinner this evening ️,1
Poor babies :( ,1
Oh no! What is wrong with people?!?! :( ,1
The estate agent is officially pissing me off now...,1
"BBCCambs: Woman, 20, assaulted as she walked home in Peterborough - appeal by CambsCops ",1
richardbranson: Why big game animals are worth more alive than dead: ,1
"DonkeySanctuary a mention in The Times, fastest growing farm attraction. How lovely! Yay for the donkeys!! ",1
Are the schools now out? There’s no traffic this morning. Feels really odd...,1
Square 8 complete. Trebles and bobbles! crochet ,1
Protect_Wldlife: Please RT: A massive THANK YOU to the kind souls who look after the orphans of the Rhino horn trade. InSafeHands htt…,1
Protect_Wldlife: Scared baby Elephant Rapa's cries saved him from drowning. Many thanks to the DSWT team! ,1
"It's been a while river Cam, but you still fill me with joy ",1
A beautiful evening for gentle walk home... ,1
Yaay! Grantchester! ,1
I ️ bus drivers who actually wait for elderly passengers to sit before they start driving off. They aren't all so nice...,1
RIP George... Minder star George Cole dies at 90 ,1
Poffy will alway take time out from his hectic schedule of sleeping &amp; eating to give his buddy a quick wash... ️ ,1
Trying a new stitch. Bit uneven so this is my test attempt crochet ,1
RSPCA_official: RT heartwiltsnews: Kittens found in car towed 87 miles from Swindon: HeartNews ,1
"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery ",1
I’m now a step closer towards contracts signed and completion on the house. Exciting times! ,1
Disgusting. I hope they catch the person doing it. ,1
twistedthread: Minions fans! This pattern's for you sewing felt ,1
"CatsProtection one of my girls, doing what she does best, sleeping! WhiskersWednesday ",1
I wish the foreign language schools in Cambridge would teach students some manners too... ,1
"Bad night's sleep. Weird, anxiety dreams have left me feeling anything but refreshed ",1
the_candourist fantastic first vlog. Very emotional. Beautifully filmed. Good luck on your epic ride ,1
Just this ,1
...and it's only Tuesday morning... ,1
Random song popped into my head... Midnight Train to Georgia. No idea why or where from... ,1
Life may only seem perfect to the outside world motivationalquotes ,1
"rickygervais: On a serious note, I'm so incredibly proud of all of you for your unified compassion and condemnation of animals abusers.…",1
There's nothing more delicious than coming home and taking off the work clothes... ,1
Talking 80s TV shows this afternoon brought up mention of the talking aspidistra. Who remembers that? ,1
Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride ,1
Retro sweets Monday ,1
"designtaxi: Makeup artist paints wonderful, whimsical scenes of adorable cats on eyelids ",1
folksy: Feeling overwhelmed? - Craft Business Advice - Time Management Tips - ,1
designtaxi: Know of a cat-loving friend who would love to have this patch? ,1
craftsbeautiful: yarnbombing has come to Coronation Street! ,1
"Monday, I'm coming to get ya positiveaffirmations ",1
Remember this ,1
Pre 'Monday-anxiety' anxiety sucks ,1
How wonderful ,1
Holywell river front ,1
Sunday lunch at the Old Ferryboat Inn... ,1
"RIP Cilla... Cilla Black dies, aged 72 | via Telegraph ",1
The Bangles - Eternal Flame ,1
Soooo sleepy... and it’s only 8:30 on a Saturday night! ,1
My first crochet flower... ,1
Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,1
I only went in to Hobbycraft for black buttons. Several balls of wool &amp; a needle felt kit later... ,1
Mashed avocado on toast... breakfast of champions ,1
richardbranson: Why protecting endangered species is one of the most important things any of us can do: ,1
this... Tears For Fears - Head Over Heels ,1
Mum is out of surgery and seems to be fine. Overnight in the hospital then home tomorrow... ,1
New crochet project... making red poppies to sell for the British Legion. First flowers I’ve ever made ,1
What a vile sub-human... ,1
Good to be home. Happy it’s finally Friday and work is over... ,1
"RSPCA_official: Would you know what to do if your cat was poisoned? See symptoms &amp; advice on what to do, here: h…",1
Is depression an illness? ,1
Searching for a therapist that meets on weekends? ,1
The 1st Lady’s mental health road map? mental wellness ,1
Want your teen to practice safe sex? parenting ,1
Untreated mental illness leaves 2 dead: mentalillness ,1
Stereotypes about teens can undermine parents? ,1
What do you do when your loved one is in crisis? ,1
Parenting with mental illness: mentalillness ,1
How recovery from addiction impacts the family? ,1
Heroin deaths on a surge? ,1
How not to raise a narcissist: ,1
Top 13 relationship deal breakers: ,1
CBT for the winter blues? ,1
The Decisive Marriage: ,1
Is mental suffering just like any other illness? mentalillness ,1
75% of wounded veterans suffer from PTSD? ,1
"Stressed, tired and rushed: family ",1
The Client/ Therapist relationship: ,1
What's a traumatic birth? ,1
A U.S. Therapist General? ,1
Is addiction a crisis in the U.S.? ,1
How could jewelry help prevent sexual assault? ,1
Gonorrhea becoming more resistant ? STD ,1
Should parents have the sex talk with their children? ,1
Subtle suicide: ,1
Does Halloween traumatize children? ,1
College students and alcohol disorders: ,1
More white men die from suicide and substance abuse: ,1
Same sex couples and fertility benefits: ,1
March against eating disorders in Washington: ,1
Anorexic woman weighed 40 pounds: ,1
Love a women with anxiety? ,1
Mindfulness in the workplace: ,1
How to teach children how to self-advocate: parenting ,1
How can children inherit our anxiety? ,1
Children and self-esteem: ,1
What happens when you try to prevent every suicide: ,1
How to deal with mental health issues at work: mentalhealth ,1
Peer support and breaking the stigma: ,1
"Teens, self-harm, bullying, and sexting: ",1
Limit video game time to help manage ADHD? ,1
How to stop child abuse? ,1
Need a weekend counseling appointment in CT? ,1
Do you know the signs of child neglect? ,1
Love a person with mental illness? mentalillness ,1
Messages to those with mental illness worldwide: mentalillness ,1
How do you accept your emotions? acceptance ,1
Need a therapist that accepts Husky insurance in CT? ,1
What are some side effects of antidepressants? ,1
Think your sadness may be depression? ,1
Mental health and academic life: mentalhealth ,1
When it comes to stress do women have it worse? ,1
Poor parenting and children behavior problems: ,1
Dating sites connected to STD increase? ,1
Searching for a counselor that meets on weekends? ,1
Subtle signs of depression: ,1
Men account for 76% of suicides in 2014? ,1
Accountants and mental health: stress ,1
Another way to counter anxiety? ,1
Does legalizing prostitution lead to more trafficking? ,1
Things you shouldn’t do after an affair? ,1
Does early life stress lead to depression later on? ,1
Is your marriage good for your health? ,1
Do you struggle with the need for perfection? ,1
How has birth control impacted your marriage? ,1
How do seniors cope with depression? ,1
How do you make sense out of depression? ,1
How does stress effect your health? ,1
Black men and mental illness: mentalillness ,1
Understanding anxiety in men: ,1
Mentally ill left behind: mentalillnes ,1
Tackling feelings of resentment? ,1
Myths that undermine addiction recovery? ,1
How many people do you know with a cocaine problem? addiction ,1
Children and pot addiction ,1
PTSD after a flood? ,1
Volunteering improves mental health? ,1
Taking care of yourself at work: ,1
Reversing childhood obesity? ,1
Don’t take it out on the children: ,1
Refusing treatment for Bipolar Disorder: ,1
Doctors against vaccines? ,1
Spotlight on prescription drug abuse: ,1
ADHD Ain’t no Daddy At Home Disorder? ,1
Next time notice the feeling when someone smiles at you? Mindfulness ,1
Screening children for depression during physical exams? ,1
Genetic mutations cause half of Autism? ,1
How does your job impact your mental health? ,1
Australian Mental Health system broken? ,1
Scholars question if ADHD even exists. ,1
Children going to the chiropractor? ,1
Do you know about bipolar disorder? ,1
Kids and Screen (electronics) Addiction: ,1
Increase in ADHD medication use? ,1
Older women still enjoy sex too: ,1
Has anyone expressed concern about how much you worry? anxiety ,1
What does love addicted mean: ,1
Talking is the best therapy? ,1
College kids and alcohol: ,1
Getting teachers mental health training? ,1
People in recovery need support: ,1
Should he tell her that he dated men in the past? relationships dating ,1
Real men don’t get depression’ stereotype: ,1
Worsts habits for mental health: ,1
Tips on how to overcome depression? ,1
Different parenting styles: ,1
Link between maternity leave and mental health: ,1
Savoring positive emotions: ,1
"Suicide, a survivor’s point of view: ",1
Increased funding for Youth Mental Health and Substance abuse prevention? ,1
Daily admissions for self-harm: ,1
Signs of mental strength and resilience: ,1
Questions about sex addiction? ,1
Women at greater risk for PTSD then men? ,1
Want to improve relationships? ,1
"Men, anxiety, and depression? ",1
Teen prescription drug use down? ,1
How a child becomes a bully. ,1
Do men have biological clocks? ,1
Drug prevention tips for Youth: ,1
Looking for a therapist in Connecticut to see you on the weekends? ,1
Have you ever suspected someone of experiencing PTSD? ,1
Can we really help to make homework less stressful for children? ,1
Who uses e-cigarettes the most? nicotine addiction ,1
What is a toxic workspace? mentalhealth ,1
Mental health treatment in the ER? mentalillness ,1
Do video games help to manage ADHD? ,1
What does post partum depression look like? ,1
How do you deal with aggressive children? ,1
Keeping poor children in school: ,1
What do you know about shyness? ,1
Are mean people successful? counseling ,1
Children with sexually inappropriate behaviors? ,1
Have you ever had feelings of emptiness? ,1
How can we talked to our kid about college? parenting stress ,1
Can kids and toddlers have depression too? ,1
How can you help your teen with peer pressure? parenting ,1
How to deal with fetal alcohol syndrome? parenting ,1
Can vitamin D improve our sleep? ,1
How do you parent a 15 year old? parenting ,1
Should you use you employers mental health screening tools: mentalhealth ,1
Consequences of making threats of suicide: ,1
Married and dissatisfied? marriage ,1
The powerful effect of gratitude? ,1
Why vegetarian diet is good for you? ,1
Oxytocin and helps with Autism? ,1
Dating after divorce: ,1
Gender bias when it comes to expressing anger? ,1
Psych Meds used as study aids? medication ,1
College minor in substance abuse? addiction ,1
College minor in substance abuse? addiction ,1
People with mental illness need to be listened to: mentalillness ,1
What age is too young to medicate? anxiety toddlers ,1
Paid sick days for mental health reasons? mentalhealth ,1
Domestic violence victims taking control back: women ,1
Are there questionable ads in parenting magazines? ,1
Struggling with parenting your teen? ,1
Do you consider yourself to be a controlling parent? Parenting ,1
Strategies for bipolar disorder: ,1
Do you obsess over food? OCD ,1
Are you concerned about your child playing football and helmet to helmet contact? concussions ,1
Can childhood adversity change our brains? ,1
Do you think mentally ill women are targeted to be abused? mentalillness ,1
Have you ever thought alcohol ads are harmful to teens. ,1
Do you think too much social media is harmful to kids? ,1
Borderline personality helps on the job? ,1
Would you like to see mental health taught in school? mentalhealth ,1
Has your partner been diagnosed with borderline personality disorder? ,1
Are American Teens more reckless than other teens elsewhere? ,1
Ever thought that depression was more complex than a simple mental health screen? ,1
How does music impact your thoughts and feelings? ,1
Many people have toxic friends and are unaware. Are your friends toxic to your well being? relationships ,1
How many parents would know what to do if their child was diagnosed with depression? ,1
Can you afford a therapist? Is that one of the barriers to getting the help that you need? ,1
Is this a reasonable plan to address an addiction problem? ,1
Have you ever wondered how having a mental illness could impact your insurance coverage? mentalillness ,1
Have you ever wondered whether or not some parents see themselves as role models?parenting ,1
Are you informed about teens and their alcohol use? ,1
Have you ever wanted to ask someone about their bisexuality? ,1
Does self acceptance lead to growth? ,1
Keep the blues away with healthy diet? healthyeating ,1
Is your marriage harming your children? ,1
Myths of aging? ,1
Anxiety in children: ,1
Older couples more attuned to each other: ,1
Celebreties and depression: ,1
ADHD 4 Common problems: ,1
Mental health in your 20s? mentalhealth ,1
Gifts to give yourself: selfcare ,1
Self-care check-ins: ,1
What is trauma bonding? ,1
Making the transition from high school to college: mentalhealth ,1
Can personal beliefs get in the way of healing? Counseling ,1
Rise in mental health detentions? mentalhealth ,1
United Nations reviewing mental health? Mental health ,1
College resources for mental health improving? mentalhealth ,1
When is time to change therapists? therapy counseling ,1
How Vegas treats the mentally ill? mentalillness homeless ,1
Abolish the death penalty? law politics deathpenalty ,1
Lawyers accessed sexual assault records? ,1
Unhappy at work? happiness ,1
Top things a psychiatric practitioner should remember: ,1
Can anxiety disorders be prevented in children. ,1
Messages that provoke fear change attitude. ,1
Early intervention can change nature of schizophrenia. ,1
Talking to children about addiction: ,1
New theory on origin of depression? ,1
Psychological tricks bad leaders use? ,1
"Kids tired, stressed and bored: ",1
How much sleep do we need? ,1
Avoiding stress may not be the answer? ,1
Foster children more likely to be diagnosed with ADHD? ,1
Gardening therapy helps women return to work? ,1
The profile of a pedophile? ,1
Signs your teen may suffer from anxiety? ,1
Pain killer pill addiction an epidemic? ,1
What you may miss when you dismiss someone as a drunk: alcoholism ,1
Is it hard to find a mental health professional? ,1
Employers need to offer mental health days: ,1
Reasons to join a support group: ,1
Tips on raising boys with ADHD: ,1
Helping homeless people shower: ,1
No plan to tackle addiction: ,1
Another kind of abuse? ,1
Are Black Americans killed at 12 times the rate of people in other developed countries? violence ,1
Buprenorphine for opiate addiction treatment? ,1
Signs of a nervous breakdown? mentalhealth ,1
Third trip to psychiatric facility: ,1
Improve marriage with gratitude? ,1
Helping grieving teens: ,1
Myths about ADHD: ,1
Should you tell your loved one that you have a mental illness? mentalillness ,1
Every family should have access to mental healthcare. mentalhealth ,1
Campus suicide rates rising? ,1
What is triangulation? ,1
Deadly consequences of fat shaming: emotional abuse ,1
Subconsciously resisting change? ,1
Supporting loved ones who have a mental illness: mentalillness ,1
Minimizing substance abuse: addiction ,1
Does increased awareness lessen obesity ? ,1
5 Myths of compasssion? ,1
Recovery depends on hope: ,1
Grants for new mental health clinics? mentalhealth ,1
Is it toxic to describe mental illness as permanent? mentalillness ,1
A history of bisexuality? ,1
Embracing gods transgender people: ,1
Same sex women spend more time with children ,1
Do take it out on the children? ,1
Mental illness is not invisible? counseling ,1
How to calm anxiety? ,1
Smoking and drinking after pregnancy ,1
Treat mental illness the same at physical illness? mentalillnes ,1
Borderline personality disorder and wounding? ,1
Access to mental health varies from state to state? mentalhealth ,1
"Young, black and depressed? ",1
The myth of addiction ,1
Public housing drug testing? ,1
How much does a hangover cost? alcoholism ,1
Tips for Bipolar Disorder? ,1
Signs your teen may be using drugs? ,1
How to maximize mental health coverage? mentalhealth ,1
What is child sex abuse? ,1
How to benefit from mental health first aid course? mentalhealth ,1
Shortage of psychiatrist in some jails? ,1
Different signs in teen and adult depression? ,1
Weed not a gateway drug? ,1
Youth mental health an election issue? mentalhealth ,1
Conversion therapy banned by Obama administration: ,1
Training has prevented suicides? ,1
What is biophobia? ,1
Be safe. awareness ,1
Many struggle with tardiness and absenteeism.,1
Some people find themselves turning to colleagues to vent their frustrations.,1
How do you manage the stress at your job?,1
Are you afraid of commitment? relationships ,1
Having gratitude has definitely improved our overall mood.,1
All men aren't dogs. truth ,1
We focus on sending out positive impressions so that we can receive the same.,1
"We were just experimenting as teens, in our 30s drinking made things unmanageable. recovery ",1
Our goal today is to connect with providers that teach mindfulness across the world.,1
Acknowledging your own strengths can help to raise your self esteem. confidence,1
How does maintaining good fitness help you emotionally? awareness ,1
We usually tend to rely on those we trust for support.,1
We learned while doing the work. We are as sick as our resentments.,1
Next time notice your feelings when someone smiles at you? Mindfulness ,1
The way to shine our brightest today is to share the love and peace that we've come to know through awareness.,1
We intend on helping trauma and addiction survivors live lives worth living.,1
What advice would you give your younger self if you could? awareness ,1
We imagine that our book will be ready in the next couple of months. excited,1
One thing we love about our lives is that we come into work everyday looking forward to help someone.,1
If he could only see how you've grown. loss ,1
Some feel less restricted when they work for themselves as opposed to working for others. entrepreneurship,1
It's very supportive and encouraging to hear that our ideas have value and that our dreams are possible.,1
"Early on, we remember taking things one minute at a time. NA AA ",1
What would your life be like with less anxiety?,1
What would your life be like with less anxiety?,1
Is anxiety a delusion? ,1
Who do you think has a high risk of mental health problems? mentalhealth,1
Higher risk of mental health problems for gays? ,1
How can you improve your parenting?,1
Are you an OCD parent? ,1
What is helicopter parenting? Are you a helicopter parent?,1
Helicopter parenting ruining generation? ,1
How often do you drive while sleepy? counseling,1
Many young people drive sleepy? counseling ,1
Do you have difficulty with your child at mealtime?,1
Autism and mealtime: ,1
Can you talk openly to your man about his parenting skills?,1
Yoga can improve parenting? ,1
Do you suspect any men currently in your life of being depressed?,1
How many times have you been married? marriage,1
Why remarriages fail and how to avoid it? marriage ,1
Do you think you or your child is addicted to the smart phone?,1
Children becoming hunchbacks due to smart phone addiction? ,1
Have you ever experienced body image issues?,1
How to create a positive body image? ,1
Have you ever witnessed a child with anger problems?,1
Are you concerned individuals residing in residential care facilities? abuse,1
Disabled are dying in residential care facilities? ,1
How often do you take a mental health day from work? mentalhealth self-care,1
Taking a sick day when you're well? mentalhealth ,1
How do your manage your anger?,1
Inner rage: anger ,1
Do you have any tips for parenting children with ADHD?,1
Parenting children with ADHD: ,1
Claims of hospital bullying? ,1
Surviving a suicide attempt: ,1
Bipolar not a choice: ,1
Husband commits suicide weeks after being diagnosed? bipolar ,1
Women face abuse online? ,1
Emotional journey of weaning a baby? breastfeeding ,1
What does it mean to be Latino? ,1
Addicted to online fundraisers? ,1
Have you ever lost interest in something? depression,1
Loss of interest: depression ,1
Have you ever checked the sex offender registry for perpetrators in your neighborhood?,1
How to protect your child from a pedophile? ,1
Did your mother drink alcohol during her pregnancy?,1
Should women drink alcohol during pregnancy? ,1
How do trauma victims because survivors?,1
Information for trauma survivors: ,1
How do racing thoughts impact your life?,1
How to stop racing thoughts: ,1
What have your children inherited from you?,1
How children inherit our anxiety: ,1
Do you know trauma survivors that have self-medicated their symptoms with street drugs?,1
Trauma and substance abuse: ,1
Do you have any sleeping problems?,1
Do you have adult ADHD?,1
Got adult ADHD? ,1
